otu	OTU799	OTU768	OTU711	OTU943	OTU1091	OTU434	OTU788	OTU1151	OTU501	OTU500	OTU503	OTU502	OTU505	OTU504	OTU507	OTU506	OTU509	OTU508	OTU804	OTU712	OTU1090	OTU1156	OTU1106	OTU480	OTU481	OTU482	OTU483	OTU484	OTU485	OTU338	OTU339	OTU336	OTU337	OTU334	OTU335	OTU332	OTU333	OTU330	OTU331	OTU1093	OTU928	OTU730	OTU806	OTU950	OTU805	OTU349	OTU348	OTU439	OTU438	OTU343	OTU342	OTU341	OTU340	OTU347	OTU346	OTU345	OTU344	OTU655	OTU654	OTU158	OTU159	OTU651	OTU650	OTU653	OTU652	OTU152	OTU153	OTU150	OTU151	OTU156	OTU157	OTU154	OTU155	OTU938	OTU939	OTU1020	OTU924	OTU930	OTU888	OTU932	OTU933	OTU934	OTU935	OTU936	OTU889	OTU1037	OTU800	OTU921	OTU1189	OTU1036	OTU1187	OTU1186	OTU899	OTU920	OTU1183	OTU1035	OTU1181	OTU1180	OTU237	mOTU236	mOTU235	mOTU234	mOTU233	mOTU232	mOTU231	mOTU230	mOTU1060	mOTU1033	mOTU1062	mOTU1063	mOTU1064	mOTU886	mOTU239	mOTU238	mOTU892	mOTU1165	mOTU887	mOTU706	mOTU1164	mOTU898	mOTU880	mOTU1030	mOTU881	mOTU61	mOTU60	mOTU63	mOTU62	mOTU65	mOTU64	mOTU67	mOTU66	mOTU69	mOTU68	mOTU734	mOTU883	mOTU808	mOTU809	mOTU802	mOTU1135	mOTU1096	mOTU1132	mOTU781	mOTU1100	mOTU952	mOTU988	mOTU1114	mOTU1115	mOTU1116	mOTU1117	mOTU1110	mOTU1111	mOTU1112	mOTU1113	mOTU1185	mOTU1131	mOTU1118	mOTU1119	mOTU803	mOTU951	mOTU750	mOTU751	mOTU1034	mOTU885	mOTU978	mOTU954	mOTU979	mOTU756	mOTU884	mOTU774	mOTU757	mOTU611	mOTU610	mOTU620	mOTU613	mOTU621	mOTU612	mOTU1008	mOTU853	mOTU615	mOTU1009	mOTU614	mOTU1006	mOTU1056	mOTU617	mOTU1007	mOTU616	mOTU1004	mOTU1134	mOTU471	mOTU470	mOTU473	mOTU472	mOTU475	mOTU474	mOTU477	mOTU476	mOTU479	mOTU478	mOTU977	mOTU629	mOTU578	mOTU579	mOTU1000	mOTU1195	mOTU570	mOTU571	mOTU572	mOTU573	mOTU574	mOTU575	mOTU576	mOTU577	mOTU619	mOTU618	mOTU752	mOTU753	mOTU754	mOTU755	mOTU208	mOTU209	mOTU206	mOTU207	mOTU204	mOTU205	mOTU202	mOTU203	mOTU200	mOTU201	mOTU1192	mOTU848	mOTU891	mOTU1193	mOTU682	mOTU683	mOTU680	mOTU681	mOTU686	mOTU486	mOTU684	mOTU685	mOTU688	mOTU487	mOTU763	mOTU716	mOTU372	mOTU373	mOTU279	mOTU278	mOTU376	mOTU377	mOTU374	mOTU375	mOTU273	mOTU272	mOTU271	mOTU270	mOTU277	mOTU276	mOTU275	mOTU274	mOTU105	mOTU104	mOTU107	mOTU106	mOTU101	mOTU100	mOTU103	mOTU102	mOTU725	mOTU713	mOTU109	mOTU108	mOTU724	mOTU295	mOTU294	mOTU297	mOTU296	mOTU291	mOTU290	mOTU293	mOTU292	mOTU732	mOTU871	mOTU726	mOTU299	mOTU298	mOTU852	mOTU687	mOTU1154	mOTU1191	mOTU1032	mOTU890	mOTU1011	mOTU704	mOTU1013	mOTU1012	mOTU896	mOTU1014	mOTU198	mOTU199	mOTU196	mOTU197	mOTU194	mOTU195	mOTU192	mOTU193	mOTU190	mOTU191	genedfrF	genelnuA	geneOXA-226	genemsrE	genemdtP	geneQnrS6	geneaadA23	geneTEM-116	genegadX	geneOXA-61	geneTEM-43	genemdtF	genesrmB	genecatB3	genecpxA	geneOXA-236	genetetE	geneCfxA2	genenpmA	genesdiA	genevanRF	genecmlA5	geneAPH3-VIIa	genevanXYG	genelsaE	geneCfxA6	geneOXA-85	genevatD	geneAPH3-Ia	geneCfxA4	geneErmQ	geneTEM-148	geneTEM-1	geneCARB-14	genemdtH	genelnuC	geneQnrS1	geneAPH2-IVa	genemdtA	genetetW	genevanSG	genesul3	genevanRL	geneaadK	genecatB8	genedfrG	geneCARB-3	geneOXA-4	genedfrD	geneamrB
B2	0	2	1	0	0	15	3	0	25	13	2	0	6	0	3	10	2	12	5	1	0	0	0	16	17	1	7	15	0	68	19	64	51	19	0	0	7	27	36	0	3	1	0	5	3	1	14	21	3	9	0	1	17	17	5	6	14	6	1	32	11	3	6	7	1	73	3	2	1	79	9	0	3	2	0	0	1	7	0	1	0	1	1	1	0	2	0	0	3	0	0	4	0	2	1	0	0	0	17	1	35	0	74	50	6	56	0	1	0	0	0	0	19	2	0	0	0	0	0	5	1	1	3	298	317	7	255	96	95	8	8	477	67	2	0	0	4	0	0	0	0	8	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	5	1	4	0	2	3	2	0	0	0	0	0	5	0	2	15	0	1	0	2	2	0	0	4	2	0	2	0	1	1	0	25	1	4	7	3	13	15	8	14	0	0	2	6	0	1	0	3	3	5	4	1	0	2	0	5	3	2	0	0	6	2	20	3	0	0	52	37	49	32	32	0	1	0	0	2	0	23	0	1	8	0	0	1	2	1	0	16	0	11	108	0	8	0	17	27	14	7	1	47	4	3	6	182	101	60	60	111	117	55	280	9	2	0	86	4	15	0	55	16	39	3	1	2	1	0	4	23	5	7	14	0	0	0	2	0	8	0	1	0	0	44	52	19	71	110	8	7	44	3	1	0.052052	1.404921	0	0.017456	0	0	0.016516	0	0	0	0	0	0.054555	0	0	0	0	4.000889	0.117117	0	0.01851	0	0	0	4.758968	2.160078	0.01684	0.083791	0.094727	2.000444	2.746347	0	0	0	0	85.716582	0	0	0	80.960739	0	0.016266	0	0.090406	0	0.103477	0	0	0.079036	0.004113
B3	0	4	0	0	1	12	3	0	15	3	0	0	4	0	4	0	0	7	2	0	0	0	0	11	4	1	124	4	0	33	5	68	13	12	0	0	2	4	14	0	0	2	1	4	4	6	16	8	1	4	1	5	4	3	4	3	2	1	0	22	32	0	5	2	4	29	5	7	1	22	5	0	1	0	0	0	4	2	2	1	0	0	1	0	2	0	0	0	3	0	0	0	0	1	0	0	0	0	19	0	16	0	56	42	2	22	1	0	0	0	0	0	28	5	0	0	0	0	0	6	2	1	3	199	223	19	226	56	44	3	3	341	35	0	0	0	0	1	0	0	0	12	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	3	0	2	2	0	0	0	0	0	0	5	0	1	7	0	0	0	4	1	0	0	4	0	0	6	0	1	0	0	7	5	0	4	2	15	5	8	3	0	1	1	1	0	2	0	2	2	6	4	0	0	0	4	3	0	0	0	0	4	3	10	1	0	2	29	14	24	9	60	0	0	0	0	2	0	0	2	1	2	7	0	3	0	0	0	84	4	1	95	0	10	0	14	16	8	2	0	27	0	4	9	238	53	130	33	100	224	32	117	10	0	1	39	6	7	1	15	4	18	6	1	2	1	0	1	3	8	1	4	0	0	1	0	0	3	0	2	0	0	23	6	16	51	56	3	2	32	0	0	0.164175	1.00329	0	27.07613	3.449491	0.066604	0.356643	0.029042	5.796632	0	0.014521	4.05108	0.011345	0.671542	4.026473	0.015045	0.005132	1.478691	0.028415	0.103756	0.008982	0.811177	0.008302	0.040858	2.410315	1.361973	0.147089	0.020329	6.864139	0.886567	0.702662	0.094386	0.094386	0.027876	2.750766	26.899403	1.303537	0	3.040481	24.655073	0	7.226057	0.017963	0.270523	0.187637	4.349528	0.464575	0.131645	0.690324	0.001996
B4	0	0	7	0	1	8	4	0	7	12	13	1	7	0	1	5	0	6	0	0	0	2	0	9	4	1	161	4	1	81	13	27	43	20	1	0	1	13	8	0	2	0	5	1	0	0	3	5	8	19	3	0	22	7	2	40	36	4	2	15	8	2	4	3	1	81	1	1	10	56	0	0	68	2	1	0	1	5	1	6	0	0	1	2	4	0	0	0	0	0	2	1	1	0	2	0	0	0	62	0	74	0	12	18	87	34	1	0	0	0	0	2	23	9	0	0	4	0	0	10	2	2	0	161	130	22	75	403	281	8	322	184	157	0	9	2	3	0	0	0	0	22	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	1	2	0	0	0	0	0	5	0	6	0	0	0	0	3	2	0	1	3	1	0	15	4	1	1	2	9	1	5	20	3	9	3	13	12	29	2	1	0	0	0	0	6	6	7	10	1	0	7	3	3	0	4	0	0	6	22	35	35	4	0	63	8	7	53	11	0	0	0	0	0	0	8	2	0	5	3	0	0	8	0	0	0	0	19	46	0	13	0	14	15	61	40	1	11	11	15	1	25	157	61	64	72	4	172	106	6	0	1	48	0	41	9	43	92	19	3	2	1	1	0	4	17	44	1	7	0	0	2	2	0	1	0	4	0	0	12	67	17	15	115	3	27	150	0	0	0.071718	0.210006	0	0	0.00605	0	0.011378	0	0.021515	0.040133	0	0.0114	0.048321	0	0.019378	0	0	4.299711	0.026894	0	0	0.007044	0.011786	0.011601	0.601604	6.348864	0.777291	0.072155	0.054381	2.645976	4.104994	0	0	0	0.014682	84.994233	0.013508	0	0.010667	42.366778	0	0.056029	0.025503	0	0	22.936107	0	0	0.054448	0.002834
B5	1	2	1	2	2	15	3	0	2	9	0	1	8	0	7	14	13	8	5	0	0	0	0	7	3	0	26	3	0	41	19	48	28	7	0	0	7	31	26	2	2	3	1	3	2	2	23	8	2	48	5	0	6	21	11	21	19	11	1	47	26	2	3	8	0	86	17	1	2	51	3	1	8	1	2	0	4	1	2	0	0	0	3	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	39	0	59	0	45	53	12	44	0	1	0	0	0	0	4	3	0	0	1	0	0	3	2	0	2	321	286	17	189	215	78	7	110	466	93	0	4	4	10	0	0	0	0	11	0	0	0	0	2	1	0	2	0	2	0	0	0	1	2	5	2	0	0	1	2	0	0	0	0	0	0	2	0	1	7	0	1	0	4	3	0	0	11	0	0	12	1	4	0	0	4	5	2	17	32	12	3	4	5	2	0	0	0	0	0	0	1	10	10	2	5	0	8	4	5	8	1	0	0	3	3	89	11	0	0	55	31	18	60	17	0	1	0	0	0	0	14	2	2	9	0	0	0	11	0	0	1	3	88	83	0	12	0	34	18	31	14	2	30	11	23	6	140	58	16	63	91	3	86	164	5	0	3	99	1	11	1	57	55	26	4	2	9	4	0	0	22	11	2	6	0	1	1	1	0	2	0	0	1	1	22	95	103	106	32	5	2	125	0	0	0.650224	1.036588	0.016901	0.327094	0.424492	0.0213	0.017941	0	0.678494	0.01808	0	0.388721	0.05926	0.077376	0.427762	0	0	7.163565	0	0.038711	0	0.116616	0	0	0.644	13.045556	0.713417	0	0.737426	4.302485	2.223843	0	0	0	0.277795	97.901043	0.127799	0	0.280327	54.007865	0	1.077816	0.020106	0.032734	0.022107	0.365304	0.015294	0	0	0.004468
B6	0	3	0	3	0	8	1	0	5	3	0	0	4	0	4	4	8	2	7	0	0	0	0	9	2	1	280	0	7	20	4	55	9	5	1	0	16	5	13	0	1	0	3	1	0	7	30	7	5	16	1	4	0	15	1	11	10	8	0	94	31	0	1	7	1	28	60	15	31	36	13	0	1	1	4	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	19	1	59	0	14	21	2	12	2	1	0	0	1	0	14	1	2	0	0	0	1	2	1	4	1	124	102	20	108	78	20	16	37	196	110	0	0	0	0	0	0	1	0	17	0	2	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	3	0	2	3	0	0	5	0	0	0	0	2	24	1	8	10	5	3	1	5	0	0	0	3	0	1	0	2	4	6	0	2	0	0	1	2	5	0	0	0	3	5	24	8	2	2	97	11	8	22	32	1	0	0	2	1	0	4	0	1	3	1	0	0	1	3	0	8	6	50	82	0	10	0	18	22	26	3	5	20	3	5	4	123	22	23	33	103	9	21	40	8	0	0	38	2	4	1	29	12	9	1	1	4	1	0	1	14	6	0	2	1	1	0	0	2	4	0	1	1	0	12	13	22	20	24	3	0	32	0	0	0.536907	2.460824	0	0.025008	0.050324	0	0	0	0.071588	0	0	0.037932	0.008932	0	0.05373	0	0	2.560174	0	0	0	0	0	0.067552	7.189645	1.111818	0.019301	0.192064	0.343792	1.49025	3.586317	0	0	0	0.024425	83.638177	0.022473	0	0.082816	73.597853	0.013338	0.037285	0	0.051807	0	1.126642	0	0	0	0
B7	0	0	0	3	0	9	0	2	4	4	2	1	5	0	2	3	5	5	1	0	0	2	0	26	3	0	34	1	42	19	12	60	8	10	12	0	49	1	9	0	0	1	0	4	1	43	25	3	2	10	0	23	2	16	4	4	1	6	0	84	13	0	0	1	0	25	203	1	102	32	13	1	2	1	0	0	11	0	0	1	0	0	0	1	4	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	30	0	30	19	6	17	3	1	0	8	1	1	14	1	1	0	0	0	1	1	0	2	3	108	115	21	127	73	14	13	4	193	80	1	1	0	0	0	0	1	2	12	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	6	0	0	2	6	0	0	1	6	0	0	2	0	2	0	0	3	386	0	4	3	5	3	1	4	0	1	0	1	0	0	1	0	2	3	2	0	0	0	2	4	1	0	0	0	0	1	14	2	0	1	75	8	11	17	33	2	0	0	0	2	0	5	3	1	0	5	0	0	2	0	0	36	34	13	107	0	5	0	10	16	15	2	2	15	1	1	16	270	9	38	34	82	39	19	43	2	0	0	32	1	2	1	20	6	15	0	1	4	0	0	1	10	0	3	0	1	0	0	0	1	3	0	1	0	0	15	7	24	13	52	10	0	14	0	0	0.468596	0.086777	0	0.167866	0.125773	0	0.013517	0	0.204478	0	0	0.111732	0.070162	0.033313	0.107429	0	0	4.076566	0.063899	0	0	0.008368	0	0.12404	0.419638	7.404732	0.041347	0.051431	0.116288	2.499421	2.383845	0	0	0.011754	0.069766	68.031601	0.016048	0.011637	0.059138	40.040236	0.028573	0.199686	0.090891	0.061657	0.058297	18.525063	0.028807	0.012688	0.064683	0
B8	0	12	0	0	1	15	6	0	14	7	2	0	2	0	3	14	0	7	0	0	0	0	0	22	2	1	293	6	0	54	18	47	34	22	0	0	9	21	22	1	0	4	0	1	2	0	8	23	2	4	5	0	5	16	14	10	22	10	0	29	20	2	2	4	6	53	0	0	0	80	3	0	1	2	1	0	3	1	1	0	0	1	3	0	3	4	0	0	3	0	1	2	0	3	1	0	0	0	22	0	21	2	53	61	12	47	0	2	1	0	0	2	23	0	0	0	1	0	0	3	4	1	2	354	360	7	296	104	95	10	33	473	100	0	1	0	3	0	0	0	0	12	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	4	0	7	0	2	2	0	0	0	0	0	0	0	1	1	2	0	0	3	2	3	0	0	1	0	0	6	0	3	0	0	12	3	5	8	4	8	6	6	11	2	1	0	11	0	0	0	2	2	9	4	1	0	3	3	5	3	1	0	0	6	2	11	7	1	1	76	22	43	53	33	0	0	0	0	2	0	9	0	1	8	5	0	0	2	2	0	1	0	14	96	0	11	1	16	31	12	14	2	44	7	1	6	159	104	44	86	116	25	45	352	6	2	1	104	1	8	2	70	13	30	6	2	8	0	0	2	19	2	5	3	0	2	0	1	0	3	0	2	0	0	19	79	11	40	27	1	5	70	0	0	0.695097	0.032929	0	0.241244	0.046363	0	0	0	0.048495	0	0	0.050107	0.072611	0.018961	0.069884	0	0	3.40859	0	0	0.011497	0	0	0.39747	1.094759	9.102331	0.303332	0	0.117672	2.087399	3.845777	0	0	0.008921	0.046329	66.058449	0	0	0.028852	46.28898	0	0.060619	0.011497	0	0.025282	15.698107	0.013118	0	0.016363	0
B9	0	6	7	0	2	18	1	0	11	10	2	0	18	0	11	8	4	2	1	0	0	0	0	5	3	0	126	12	0	46	28	64	29	23	0	0	4	39	31	0	3	4	1	3	4	0	8	22	1	3	9	0	10	3	7	24	38	9	0	45	15	3	1	4	2	100	0	0	2	170	1	0	3	3	3	0	1	3	2	0	1	0	6	0	1	0	0	0	2	0	2	2	0	0	1	0	1	0	33	0	27	0	49	82	17	54	0	6	1	0	0	0	26	3	0	0	0	0	0	16	4	4	2	388	285	14	259	194	207	10	58	447	95	2	0	4	6	2	0	0	0	10	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	3	1	3	0	2	4	0	0	0	0	0	0	3	0	4	5	2	1	1	0	3	0	0	2	0	0	7	1	3	0	0	8	0	10	9	6	17	6	13	15	2	0	1	3	0	2	0	4	3	8	4	1	0	3	4	3	1	1	0	1	9	10	23	13	0	0	72	25	40	66	34	0	0	0	0	0	0	6	1	2	6	6	0	1	5	0	0	0	0	26	114	0	13	0	8	43	18	22	4	44	20	11	1	104	210	21	88	126	9	85	333	10	2	3	125	0	21	1	88	28	24	2	3	5	0	0	2	25	8	6	3	0	0	0	0	0	3	0	3	0	0	24	93	17	28	44	2	7	97	0	0	0.533038	0.104406	0	0.168449	0.1176	0	0	0	0.184513	0	0	0.08962	0.073671	0.024048	0.12556	0	0	3.971041	0.061504	0	0.014581	0.008054	0	0.145922	0.687908	7.12209	0.039797	0	0.211421	2.127343	4.287424	0	0	0.056568	0.050363	70.760733	0	0	0.052855	41.866671	0.018335	0.166574	0.058323	0.094954	0.032064	17.657486	0.022182	0.024424	0.083012	0
C1	0	0	0	0	0	8	2	0	2	3	0	0	0	0	1	6	2	4	0	0	0	0	0	3	1	5	3596	0	18	6	0	2	4	0	29	25	42	3	1	0	0	1	1	0	0	0	89	2	1	0	22	1	2	15	13	1	4	0	0	84	93	0	1	0	3	9	59	0	31	10	0	11	6	2	0	1	25	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	2	0	0	0	1	19	45	12	9	0	6	1	1	0	0	1	2	9	1	4	1	0	3	0	0	2	0	0	75	32	7	97	48	11	439	5	1	385	1	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	1	0	0	0	2	1	0	0	0	1	0	0	0	9	4	1	3	7	0	0	0	2	426	0	0	1	0	0	0	0	2	0	2	0	0	0	18	0	2	0	6	1	2	5	1	0	0	0	0	0	1	0	0	2	1	0	0	0	3	3	0	0	0	2	4	3	1	5	29	37	2	9	20	12	31	1	0	2	0	0	0	0	0	2	4	3	2	4	2	11	5	2	5	4	75	0	3	0	0	16	5	0	4	19	6	5	8	86	1	19	21	44	10	0	34	4	0	10	10	0	0	0	2	2	6	13	4	1	1	1	0	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	15	3	5	5	2	5	28	0	0.383726	0.249698	0	0.604122	0.327292	0.064246	0.020293	0	0.818616	0	0	0.374454	0.025535	0.058347	0.476167	0	0	2.561651	0.015989	0	0.015162	0.075375	0	0.027588	2.00812	2.16135	0.027588	0.102951	0.879373	1.736898	1.40427	0	0.012256	0.023528	0.362223	61.524126	0.240924	0	0.422775	45.474571	0.009532	0.952654	0.030323	0.049368	0.050012	10.19225	0.011533	0.019048	0.107899	0
C2	4	0	1	0	0	10	2	0	7	29	0	3	0	7	6	9	7	18	0	0	0	2	0	5	4	3	193	1	15	36	0	1	29	2	22	21	13	11	2	1	9	0	3	0	0	0	44	11	14	2	56	1	18	34	26	14	26	0	1	55	106	0	6	3	2	37	13	10	41	31	0	13	95	4	5	0	17	0	4	0	0	0	0	0	2	1	4	0	0	0	0	0	0	0	1	0	1	0	3	0	6	30	24	31	4	26	0	2	0	0	3	11	10	3	0	3	6	10	1	3	2	0	3	245	112	17	276	138	59	603	22	14	336	0	0	1	2	5	0	0	0	0	0	3	2	1	0	0	0	0	1	0	0	0	0	0	0	2	2	1	1	0	2	0	0	0	0	9	0	9	3	0	1	0	7	503	0	0	4	0	0	1	1	3	1	5	1	0	4	3	1	3	3	9	16	14	14	6	1	1	0	0	1	0	1	0	20	1	12	0	0	6	7	0	0	1	5	5	8	5	31	128	12	2	28	70	33	73	0	0	10	0	1	0	6	2	4	12	1	0	7	3	14	4	0	4	5	111	1	12	0	1	21	19	3	6	23	12	13	8	96	13	4	82	84	8	22	77	4	0	23	34	2	1	0	7	18	24	36	22	1	2	0	3	7	2	6	3	0	2	0	0	0	3	1	1	1	0	9	11	94	23	34	9	10	19	79	1	0.280524	0.607152	0	3.649443	2.918535	0.140902	0.089012	0.01344	4.916175	0.007475	0.02016	3.109356	0.028001	0.347331	3.297147	0	0	2.386791	0.008766	0.080025	0	0.596947	0	0.045379	1.065047	1.760137	0.1437	0.188156	3.360868	1.38356	0.291532	0.080638	0.053759	0	2.335376	27.041301	1.039154	0.025544	2.197491	38.314339	0	5.983041	0.008313	0.006767	0.00914	48.540291	0.006323	0.041775	0.035496	0
C3	2	0	1	0	0	7	1	0	4	9	0	2	0	11	4	2	12	5	0	1	0	6	0	3	0	23	2355	0	10	21	2	2	18	0	3	24	5	4	1	0	3	0	0	1	0	0	11	6	13	0	17	1	88	26	7	11	23	0	1	35	38	0	4	1	8	13	2	1	198	17	0	181	214	3	0	0	116	0	0	1	0	0	0	0	2	0	7	0	0	2	0	0	4	1	0	0	0	0	5	2	36	14	19	28	23	10	0	1	0	0	2	0	15	17	0	1	4	10	2	2	2	1	0	154	83	34	209	478	33	595	31	2	769	0	0	0	1	1	1	0	0	1	0	2	0	2	0	0	0	0	4	1	0	0	0	2	0	6	10	0	9	0	0	3	0	0	0	0	0	3	2	1	0	0	3	630	2	0	1	0	1	2	2	1	5	6	1	0	2	0	0	10	1	5	2	7	17	15	1	8	0	0	0	0	0	0	2	2	3	0	9	5	4	0	0	0	3	4	7	0	111	136	3	1	38	44	63	21	0	0	9	0	0	0	8	4	2	5	1	5	0	11	1	9	0	0	3	35	0	7	0	0	21	20	4	2	25	93	16	4	14	8	11	35	39	8	52	60	7	0	58	27	3	1	1	10	23	17	29	36	0	2	0	1	4	6	6	4	0	1	0	1	0	1	1	3	0	0	4	7	10	7	34	0	48	9	62	0	0.206442	4.100171	0	0.006923	0.020898	0	0.039303	0	0.03716	0	0	0.042661	0.074184	0	0.029749	0	0	3.326957	0	0	0	0	0.013571	0	2.821633	2.021206	0.013358	0.066464	0.012523	1.808934	0.752554	0	0	0	0.016905	60.96238	0	0	0.008188	61.129711	0.009231	0.012903	0	0.143423	0	0.338578	0	0	0	0.003263
C4	0	0	0	1	0	13	2	3	2	1	0	0	0	1	2	1	9	2	0	0	0	0	0	2	1	9	1269	0	49	8	1	0	6	0	28	35	51	3	0	0	0	0	2	0	0	0	85	6	3	0	44	3	2	13	13	4	10	1	0	109	163	0	0	2	5	15	103	1	27	31	3	8	1	2	0	1	24	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	27	39	16	5	1	5	4	1	0	0	0	4	5	1	5	0	0	5	1	0	2	0	0	73	38	8	126	81	7	546	6	1	144	1	0	0	0	6	4	1	0	0	0	5	1	1	0	0	0	1	0	1	0	1	0	0	3	0	0	1	0	0	3	0	0	2	2	7	1	1	11	0	0	0	6	399	0	0	3	0	0	0	0	1	0	1	0	0	0	38	0	1	1	2	3	3	4	0	0	0	0	0	0	1	0	0	3	0	3	0	3	5	1	1	0	0	0	4	9	0	15	59	26	1	17	24	29	38	0	0	1	3	0	0	1	1	2	11	0	2	6	1	7	3	3	8	7	88	0	5	0	0	23	4	0	3	18	1	3	4	108	3	2	31	94	3	1	52	5	0	5	12	1	0	0	2	2	5	13	14	1	0	0	0	2	3	1	0	1	1	0	1	0	1	0	0	1	0	2	0	47	7	4	7	0	1	49	1	0.059297	0.503296	0	0	0.11338	0.029784	0.012544	0	0.284627	0.025282	0	0.075407	0.065109	0	0.08545	0	0	7.07471	0	0	0.014058	0.011648	0	0.095922	0.772746	32.495672	0.959222	0.190909	0.179854	4.203299	9.234186	0	0	0	0.080927	101.072363	0.059568	0	0.074478	34.654447	0	0.172951	0	0.022887	0	0.019647	0	0	0	0
C5	0	0	0	1	0	10	1	0	7	3	0	0	0	1	6	9	0	10	0	0	0	0	0	6	2	3	2221	1	45	8	0	0	6	0	39	19	16	0	1	1	1	1	2	1	1	0	99	10	2	1	40	7	7	14	9	1	8	1	1	67	139	0	1	5	7	14	319	1	60	33	0	2	4	3	1	1	15	0	3	2	0	0	0	0	1	1	2	1	0	0	0	0	1	0	0	0	0	1	0	0	24	49	39	38	2	15	4	0	0	0	0	0	16	0	1	0	0	2	1	0	1	0	0	117	71	17	206	96	42	339	4	2	404	0	0	0	1	2	0	1	1	0	0	4	1	0	0	0	0	1	0	2	4	0	0	0	1	1	2	2	0	0	1	0	0	0	2	1	3	4	2	0	0	0	9	197	1	0	4	1	0	1	1	3	0	1	0	0	0	45	0	0	0	12	6	3	4	0	1	0	0	0	1	0	3	0	4	0	4	0	2	1	2	0	0	0	0	8	6	0	17	46	110	2	28	53	27	87	2	0	7	1	0	0	1	1	4	6	10	1	3	0	8	4	4	29	1	112	0	6	0	0	20	0	0	5	20	4	5	24	140	3	53	28	79	95	2	53	6	1	2	10	7	0	0	4	3	16	70	8	1	0	0	0	4	2	1	6	1	3	0	0	0	0	0	0	1	0	23	2	31	7	32	4	2	2	36	2	0.165786	0.144734	0	1.366149	0.063932	0.035688	0.06012	0	0.269995	0	0	0.135531	0.06383	0.435231	0.119453	0	0	2.991547	0	0.016215	0	0.04187	0	0.061299	0.889467	13.624411	0	0.133438	1.76714	1.632305	9.905875	0	0	0.078418	0.145452	71.110524	0.017844	0	0.103332	40.577239	0	0.547687	0.033688	0.095982	0.037041	2.048076	0.140938	0.0917	0.047949	0
C6	1	0	0	0	6	30	5	0	28	6	1	0	0	1	13	8	0	2	0	1	0	0	0	2	3	2	317	0	0	39	0	0	21	0	2	5	0	15	6	2	6	4	2	12	1	0	50	13	6	0	107	6	7	43	17	1	15	1	0	11	61	0	4	4	11	16	38	8	4	42	0	3	0	22	3	0	6	0	3	1	1	1	0	1	6	2	0	0	0	0	0	2	0	0	0	0	0	2	0	3	12	14	80	59	0	31	0	1	0	0	0	0	47	2	0	0	3	1	0	1	8	0	1	164	193	6	468	124	180	117	23	3	147	1	0	0	5	1	2	0	0	0	0	30	1	0	0	0	3	2	0	4	0	0	0	1	0	2	2	3	0	2	3	0	0	0	0	1	0	8	1	0	1	0	22	25	1	0	1	1	0	4	0	2	0	12	1	0	3	7	0	1	0	15	14	2	15	0	0	1	1	0	6	0	9	0	18	2	10	0	0	3	7	2	0	0	5	8	1	1	5	32	61	1	106	86	55	79	0	0	4	0	0	1	4	4	8	22	14	0	0	0	6	0	8	18	1	72	0	30	0	0	37	2	0	7	39	9	13	64	27	10	29	62	62	110	11	42	2	1	5	45	5	0	0	11	2	24	102	19	0	1	0	8	19	8	5	7	0	0	0	6	0	5	2	0	4	0	37	7	54	30	71	12	7	9	43	1	0.220962	0.487617	0	0.123505	0.111837	0	0	0	0.441924	0.094209	0	0.169766	0.066168	0.028798	0.25208	0	0	6.585977	0	0	0.026192	0	0	0.047659	2.108622	12.93078	0.071488	0.029641	0.245739	4.227103	3.30908	0	0	0.020323	0.150781	124.235989	0	0	0.116855	63.779095	0.016467	0.046034	0	0.021321	0	0.146421	0.019923	0	0	0.017461
